Id,Sire,Dam
1994,835,1307
1995,835,870
1996,668,1523
1997,668,1648
1998,835,1595
1999,668,1798
2000,1305,1302
2001,1305,1320
2002,1305,1304
2003,984,1772
2004,NA,NA
2005,NA,NA
2006,NA,NA
2007,1349,1817
2008,1612,1617
2009,668,1900
2010,1744,1721
2011,1682,1613
2012,1682,1458
2013,1682,1070
2014,1816,1010
2015,1816,1853
2016,1816,1788
2017,NA,NA
2018,NA,NA
2019,1222,930
2020,1086,995
2021,NA,NA
2022,NA,NA
2023,NA,NA
2024,1735,1600
2025,590,739
2026,998,1724
2027,590,1821
2028,1589,1481
2029,1589,1386
2030,1434,1410
2031,1735,1752
2032,1187,1473
2033,1305,1310
2034,1665,1749
2035,NA,NA
2036,1700,1775
2037,1350,1196
2038,1579,1730
2039,1695,1249
2040,1210,1106
2041,1509,1501
2042,998,896
2043,NA,NA
2044,NA,NA
2045,1579,1732
2046,1428,1436
2047,1039,1231
2048,1509,1606
2049,1350,989
2050,1325,1158
2051,1051,1263
2052,1428,1468
2053,1735,1685
2054,865,733
2055,1428,1472
2056,1494,1637
2057,1544,1699
2058,NA,NA
2059,1695,1207
2060,1237,1186
2061,2004,2006
2062,1494,1653
2063,1093,1360
2064,1030,1748
2065,1570,970
2066,1494,1607
2067,1735,792
2068,NA,NA
2069,1570,1609
2070,1547,870
2071,1351,1435
2072,1093,1830
2073,958,959
2074,1777,873
2075,1589,1848
2076,1030,1075
2077,1777,1835
2078,668,1559
2079,1035,1616
2080,1030,1394
2081,668,1523
2082,1641,1693
2083,1777,1109
2084,1641,1467
2085,1349,1818
2086,934,914
2087,1547,1648
2088,1777,1696
2089,1826,1742
2090,1439,1536
2091,1547,1649
2092,1528,1460
2093,1544,1704
2094,1305,1733
2095,1826,930
2096,1514,1431
2097,1544,1228
2098,668,1813
2099,958,607
2100,668,1796
2101,590,739
2102,861,1677
2103,1641,1402
2104,1641,1409
2105,1305,1798
2106,1305,1731
2107,2017,1680
2108,1777,1708
2109,1820,1815
2110,1349,1817
2111,NA,NA
2112,NA,NA
2113,NA,NA
2114,NA,NA
2115,NA,NA
2116,NA,NA
2117,NA,NA
2118,NA,NA
2119,NA,2117
2120,2114,2113
2121,1358,1503
2122,1358,1917
2123,NA,NA
2124,NA,NA
2125,1358,1504
2126,2114,2113
2127,1187,1473
2128,1682,1613
2129,1820,869
2130,1210,1106
2131,1820,978
2132,1769,1633
2133,1682,1458
2134,1816,1010
2135,1816,1853
2136,1319,1837
2137,1735,1600
2138,NA,NA
2139,1434,1861
2140,1735,1752
2141,1434,1511
2142,861,1821
2143,861,1823
2144,1319,1323
2145,998,1724
2146,1319,1501
2147,998,896
2148,1439,1114
2149,1735,1685
2150,1428,1783
2151,1590,1314
2152,1700,1203
2153,1590,940
2154,1439,1471
2155,1590,1094
2156,1428,1468
2157,1744,1721
2158,1665,1749
2159,1319,1858
2160,1428,1472
2161,1566,1096
2162,1612,1617
2163,1641,1693
2164,1093,1360
2165,1051,1263
2166,1319,1934
2167,1003,1490
2168,1358,1503
2169,1039,1231
2170,1319,1213
2171,1093,1830
2172,1638,1576
2173,1358,1504
2174,1816,1788
2175,1833,1742
2176,1833,930
2177,1253,1843
2178,1093,1961
2179,1682,1070
2180,1349,1818
2181,1555,1772
2182,1434,1841
2183,1641,1467
2184,1434,1861
2185,1695,1207
2186,1638,995
2187,1976,1704
2188,1820,1815
2189,1547,1304
2190,1547,1320
2191,1547,1813
2192,1547,1649
2193,1754,1900
2194,1727,1538
2195,2114,2113
2196,NA,NA
2197,NA,NA
2198,1209,1661
2199,NA,NA
2200,1589,1386
2201,1589,1481
2202,2199,1938
2203,1528,1460
2204,2004,2005
2205,1579,1730
2206,1579,1732
2207,2004,2006
2208,2004,1890
2209,1579,1730
2210,NA,NA
2211,1030,964
2212,1030,1394
2213,1030,1748
2214,1845,1331
2215,1845,1480
2216,1845,1593
2217,1845,1679
2218,NA,NA
2219,NA,NA
2220,NA,NA
2221,NA,NA
2222,NA,NA
2223,NA,NA
2224,NA,NA
2225,NA,NA
2226,1235,1267
2227,1826,1022
2228,1754,1733
2229,1547,1304
2230,NA,NA
2231,NA,NA
2232,NA,NA
2233,NA,NA
2234,NA,NA
2235,NA,NA
2236,NA,NA
2237,1338,2236
2238,1338,2233
2239,1338,2231
2240,1338,2235
2241,NA,NA
2242,NA,NA
2243,NA,NA
2244,NA,NA
